 ID,Ref,tw,hw,lw,lbe,fc,fyb,fyw,rouYb,rouYw,Loading,P,Vmax,Drift,loadCoeff
SW11,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,52.3,470,420,0.031,0.024,M,0,260000,8,0
SW12,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,53.6,470,420,0.031,0.024,M,230000,340000,9,0.096157866
SW13,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,40.6,470,420,0.031,0.024,M,355000,330000,10,0.195940445
SW14,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,42.1,470,420,0.031,0.024,M,0,265000,10,0
SW15,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,43.3,470,420,0.031,0.024,M,185000,320000,9,0.095742685
SW16,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,51.7,470,420,0.031,0.024,M,460000,355000,7,0.199383428
SW17,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,,48.3,470,420,0.031,0.024,M,0,247000,11,0
SW21,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,,42.8,470,420,0.033,0.025,M,0,127000,22,0
SW22,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,,50.6,470,420,0.033,0.025,M,182000,150000,14,0.100155599
SW23,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,,47.8,470,420,0.033,0.025,M,343000,180000,16,0.199811548
