,ID,Ref,tw,hw,lw,lbe,fc,fyb,fyw,rouYb,rouYw,Loading,P,Vmax,Drift,loadCoeff
ok,SW11,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,52,470,420,0.0310,0.0240,M,0,260,8,0
ok,SW12,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,54,470,420,0.0310,0.0240,M,230000,340,9,0.096157866
ok,SW13,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,41,470,420,0.0310,0.0240,M,355000,330,10,0.195940445
ok,SW14,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,42,470,420,0.0310,0.0240,M,0,265,10,0
ok,SW15,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,43,470,420,0.0310,0.0240,M,185000,320,9,0.095742685
ok,SW16,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,52,470,420,0.0310,0.0240,M,460000,355,7,0.199383428
ok,SW17,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",70,825,750,140,48,470,420,0.0310,0.0240,M,0,247,11,0
ok,SW21,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,140,43,470,420,0.0330,0.0250,M,0,127,22,0
ok,SW22,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,140,51,470,420,0.0330,0.0250,M,182000,150,14,0.100155599
ok,SW23,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,140,48,470,420,0.0330,0.0250,M,343000,180,16,0.199811548
ok,SW24,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,140,48,470,420,0.0330,0.0250,M,0,120,22,0
ok,SW25,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,140,45,470,420,0.0330,0.0250,M,325000,150,10,0.201106083
ok,SW26,"Lefas, I. D., Kotsovos, M. D. and Ambraseys, N. N, ""Behavior of Reinforced Concrete Structural Walls: Strength, Deformation Characteristics, and Failure Mechanism,"" ACI Structural Journal, V. 87, No. 1, January-February 1990, pp. 23-31.",65,1375,650,140,30,470,420,0.0330,0.0250,M,0,123,22,0
