Data,Epoch,Optimizer,Learning Rate,Batch Size,Training Loss,Validation Loss,Test Loss,Training R2,Validation R2,Test R2,,,,,,
Best 04,250,Adam,1.00E-05,8,0.000976256,0.0012688,0.001005888,0.83,0.786,0.795,0.000781005,0.00101504,0.00080471,0.0015254,0.0019825,0.0015717
Best 04,244,Adam,1.00E-05,16,0.00041408,0.000606016,0.000508032,0.929,0.893,0.903,0.000331264,0.000484813,0.000406426,0.000647,0.0009469,0.0007938
Best 04,159,Adam,1.00E-05,32,0.000268672,0.00042432,0.000422336,0.955,0.927,0.918,0.000214938,0.000339456,0.000337869,0.0004198,0.000663,0.0006599
Best 04,61,Adam,1.00E-05,64,0.000241856,0.000397504,0.000423168,0.96,0.936,0.918,0.000193485,0.000318003,0.000338534,0.0003779,0.0006211,0.0006612
Best 04,1,SGD,1.00E-05,8,0.000241536,0.000397376,0.000424128,0.956,0.928,0.918,0.000193229,0.000317901,0.000339302,0.0003774,0.0006209,0.0006627
Best 04,1,SGD,1.00E-05,16,0.00024032,0.00039744,0.000424704,0.958,0.93,0.917,0.000192256,0.000317952,0.000339763,0.0003755,0.000621,0.0006636
Best 04,1,SGD,1.00E-05,32,0.000239808,0.00039744,0.00042496,0.96,0.932,0.917,0.000191846,0.000317952,0.000339968,0.0003747,0.000621,0.000664
Best 04,1,SGD,1.00E-05,64,0.000239616,0.000397504,0.000425152,0.961,0.936,0.917,0.000191693,0.000318003,0.000340122,0.0003744,0.0006211,0.0006643
Best 04,108,RMSprop,1.00E-05,8,0.00026912,0.00038216,0.00038944,0.962,0.945,0.942,0.000215296,0.000305728,0.000311552,0.0003364,0.0004777,0.0004868
Best 04,107,RMSprop,1.00E-05,16,0.00021568,0.0003244,0.00032512,0.971,0.955,0.95,0.000172544,0.00025952,0.000260096,0.0002696,0.0004055,0.0004064
Best 04,27,RMSprop,1.00E-05,32,0.00020064,0.00031992,0.00034376,0.973,0.957,0.948,0.000160512,0.000255936,0.000275008,0.0002508,0.0003999,0.0004297
Best 04,40,RMSprop,1.00E-05,64,0.00019592,0.00030872,0.00030392,0.974,0.96,0.954,0.000156736,0.000246976,0.000243136,0.0002449,0.0003859,0.0003799
Best 04,249,Adam,0.0001,8,0.0000222,0.0000423,0.000059,0.997,0.996,0.995,,,,,,
Best 04,33,Adam,0.0001,16,0.0000205,0.0000318,0.0000295,0.998,0.997,0.997,,,,,,
Best 04,15,Adam,0.0001,32,0.0000152,0.0000302,0.0000264,0.998,0.997,0.997,,,,,,
Best 04,3,Adam,0.0001,64,0.0000137,0.0000296,0.0000265,0.999,0.997,0.997,,,,,,
Best 04,17,SGD,0.0001,8,0.0000134,0.0000295,0.0000264,0.998,0.997,0.997,,,,,,
Best 04,1,SGD,0.0001,16,0.0000134,0.0000295,0.0000264,0.998,0.997,0.997,,,,,,
Best 04,5,SGD,0.0001,32,0.0000134,0.0000295,0.0000264,0.999,0.997,0.997,,,,,,
Best 04,12,SGD,0.0001,64,0.0000134,0.0000295,0.0000264,0.999,0.997,0.997,,,,,,
Best 04,2,RMSprop,0.0001,8,0.0000505,0.0000377,0.0000327,0.994,0.996,0.997,,,,,,
Best 04,16,RMSprop,0.0001,16,0.0000347,0.0000357,0.0000342,0.996,0.996,0.997,,,,,,
Best 04,27,RMSprop,0.0001,32,0.0000368,0.0000325,0.0000303,0.996,0.997,0.997,,,,,,
Best 04,10,RMSprop,0.0001,64,0.0000383,0.0000334,0.0000296,0.996,0.997,0.997,,,,,,
Best 04,53,Adam,0.001,8,0.0000552,0.0000462,0.0000464,0.993,0.995,0.995,,,,,,
Best 04,69,Adam,0.001,16,0.0000142,0.0000191,0.0000198,0.998,0.998,0.998,,,,,,
Best 04,21,Adam,0.001,32,0.0000093,0.0000164,0.0000149,0.999,0.998,0.999,,,,,,
Best 04,27,Adam,0.001,64,0.000008,0.000014,0.0000127,0.999,0.999,0.999,,,,,,
Best 04,56,SGD,0.001,8,0.0000069,0.0000139,0.0000126,0.999,0.999,0.999,,,,,,
Best 04,1,SGD,0.001,16,0.0000069,0.0000139,0.0000126,0.999,0.999,0.999,,,,,,
Best 04,1,SGD,0.001,32,0.0000069,0.0000139,0.0000126,0.999,0.999,0.999,,,,,,
Best 04,1,SGD,0.001,64,0.0000069,0.0000139,0.0000126,0.999,0.999,0.999,,,,,,
Best 04,23,RMSprop,0.001,8,0.0001026,0.0000349,0.0000464,0.987,0.996,0.996,,,,,,
Best 04,30,RMSprop,0.001,16,0.0000701,0.0000253,0.0000508,0.993,0.998,0.997,,,,,,
Best 04,8,RMSprop,0.001,32,0.0000707,0.0000319,0.0000325,0.993,0.997,0.997,,,,,,
Best 04,1,RMSprop,0.001,64,0.0001176,0.0000337,0.0000434,0.983,0.997,0.996,,,,,,
Best 04,20,Adam,0.01,8,0.0003136,0.0001927,0.0002532,0.965,0.98,0.976,0.0003136,,,,,
Best 04,24,Adam,0.01,16,0.0000758,0.0000637,0.000083,0.992,0.994,0.993,,,,,,
Best 04,57,Adam,0.01,32,0.0000268,0.0000377,0.000056,0.997,0.997,0.995,,,,,,
Best 04,23,Adam,0.01,64,0.0000145,0.0000294,0.0000288,0.999,0.997,0.997,,,,,,
Best 04,249,SGD,0.01,8,0.0000122,0.0000287,0.0000285,0.999,0.997,0.997,,,,,,
Best 04,250,SGD,0.01,16,0.0000121,0.0000286,0.0000284,0.999,0.997,0.997,,,,,,
Best 04,248,SGD,0.01,32,0.0000121,0.0000286,0.0000284,0.999,0.997,0.997,,,,,,
Best 04,250,SGD,0.01,64,0.0000121,0.0000286,0.0000284,0.999,0.997,0.997,,,,,,
Best 04,21,RMSprop,0.01,8,0.0018853,0.0001433,0.0002087,0.724,0.987,0.985,,,,,,
Best 04,19,RMSprop,0.01,16,0.0020307,0.0001095,0.0001171,0.77,0.99,0.99,,,,,,
Best 04,22,RMSprop,0.01,32,0.0003146,0.0000929,0.0001301,0.97,0.991,0.989,,,,,,
Best 04,11,RMSprop,0.01,64,0.0001056,0.0000942,0.0000924,0.99,0.991,0.991,,,,,,
