Data,Epoch,Optimizer,Learning Rate,Batch Size,Training Loss,Validation Loss,Test Loss,Training R2,Validation R2,Test R2
Best 04,246,Adam,1.00E-05,8,0.0001944,0.0002876,0.000315233,0.976329446,0.96608156,0.962787747
Best 04,238,Adam,1.00E-05,16,7.04E-05,0.00013282,0.000141557,0.991807699,0.985370696,0.98368597
Best 04,15,Adam,1.00E-05,32,5.93E-05,0.000129236,0.000130883,0.993206382,0.986352384,0.985583365
Best 04,2,Adam,1.00E-05,64,5.91E-05,0.000130806,0.000126851,0.993406415,0.98634249,0.985643864
Best 04,123,SGD,1.00E-05,8,5.60E-05,0.000130335,0.000125947,0.992650986,0.985312164,0.985665143
Best 04,1,SGD,1.00E-05,16,5.60E-05,0.000130335,0.000125946,0.99345243,0.985435903,0.985665381
Best 04,1,SGD,1.00E-05,32,5.60E-05,0.000130335,0.000125946,0.993757367,0.986324131,0.985665381
Best 04,1,SGD,1.00E-05,64,5.60E-05,0.000130335,0.000125946,0.994042873,0.986421645,0.9856655
Best 04,50,RMSprop,1.00E-05,8,9.81E-05,0.000122626,0.0001274,0.987682879,0.986391962,0.9858132
Best 04,27,RMSprop,1.00E-05,16,8.86E-05,0.000112317,0.000112333,0.989786685,0.987679183,0.986808479
Best 04,40,RMSprop,1.00E-05,32,7.34E-05,0.000114733,0.000103275,0.991697788,0.988208711,0.987757623
Best 04,14,RMSprop,1.00E-05,64,7.16E-05,0.000113485,0.000103562,0.992347717,0.988196194,0.987888455
Best 04,18,Adam,0.0001,8,0.000203915,0.000173709,0.000169646,0.974291861,0.980001688,0.980279505
Best 04,73,Adam,0.0001,16,6.09E-05,7.72E-05,9.71E-05,0.993033707,0.991453886,0.990494013
Best 04,41,Adam,0.0001,32,3.28E-05,5.29E-05,5.94E-05,0.996329725,0.994347811,0.993797719
Best 04,22,Adam,0.0001,64,2.72E-05,4.60E-05,5.61E-05,0.99705863,0.995205402,0.994547546
Best 04,21,SGD,0.0001,8,2.55E-05,4.60E-05,5.59E-05,0.996636868,0.994841039,0.994566679
Best 04,6,SGD,0.0001,16,2.55E-05,4.60E-05,5.59E-05,0.99699086,0.995018244,0.994568944
Best 04,12,SGD,0.0001,32,2.55E-05,4.60E-05,5.59E-05,0.997136176,0.995116889,0.994570851
Best 04,32,SGD,0.0001,64,2.54E-05,4.60E-05,5.59E-05,0.997243226,0.995220721,0.994573057
Best 04,126,RMSprop,0.0001,8,4.91E-05,4.53E-05,6.02E-05,0.99436152,0.994998991,0.994206011
Best 04,14,RMSprop,0.0001,16,4.24E-05,3.92E-05,4.99E-05,0.995181262,0.996069968,0.9953385
Best 04,62,RMSprop,0.0001,32,2.88E-05,2.94E-05,4.01E-05,0.996926248,0.997088611,0.996814907
Best 04,2,RMSprop,0.0001,64,3.07E-05,3.32E-05,4.17E-05,0.996878028,0.996763468,0.996402919
Best 04,151,Adam,0.001,8,1.60E-05,2.22E-05,2.24E-05,0.998127878,0.997657955,0.997783303
Best 04,37,Adam,0.001,16,1.00E-05,1.93E-05,1.65E-05,0.99884367,0.998089135,0.998285234
Best 04,35,Adam,0.001,32,7.32E-06,1.69E-05,1.40E-05,0.999198139,0.998342812,0.998577416
Best 04,60,Adam,0.001,64,6.01E-06,1.53E-05,1.30E-05,0.999362469,0.998533428,0.998683214
Best 04,250,SGD,0.001,8,5.85E-06,1.52E-05,1.30E-05,0.999241531,0.998516858,0.998687446
Best 04,250,SGD,0.001,16,5.83E-06,1.52E-05,1.30E-05,0.999317527,0.998548806,0.998690128
Best 04,250,SGD,0.001,32,5.82E-06,1.52E-05,1.30E-05,0.999363959,0.998553932,0.998691201
Best 04,250,SGD,0.001,64,5.81E-06,1.52E-05,1.30E-05,0.999376178,0.998540401,0.998691738
Best 04,15,RMSprop,0.001,8,5.26E-05,2.71E-05,2.81E-05,0.993815899,0.997607231,0.997388124
Best 04,17,RMSprop,0.001,16,3.78E-05,1.85E-05,1.59E-05,0.996003866,0.998166382,0.99834758
Best 04,14,RMSprop,0.001,32,3.06E-05,1.88E-05,1.74E-05,0.996704876,0.998210728,0.998262048
Best 04,9,RMSprop,0.001,64,3.86E-05,1.98E-05,2.63E-05,0.995556772,0.998101771,0.997907698
Best 04,1,Adam,0.01,8,0.001465912,0.000386788,0.000610516,0.851123095,0.958176613,0.952130675
Best 04,4,Adam,0.01,16,0.00028561,0.000205071,0.000223278,0.969598532,0.977299988,0.974331558
Best 04,12,Adam,0.01,32,5.54E-05,4.40E-05,4.35E-05,0.993939996,0.995401084,0.995366216
Best 04,9,Adam,0.01,64,2.09E-05,3.22E-05,2.93E-05,0.997751117,0.996817887,0.996797681
Best 04,106,SGD,0.01,8,1.88E-05,3.18E-05,2.89E-05,0.997845054,0.996685743,0.996929228
Best 04,146,SGD,0.01,16,1.87E-05,3.17E-05,2.88E-05,0.99791348,0.996833086,0.996940732
Best 04,1,SGD,0.01,32,1.87E-05,3.17E-05,2.88E-05,0.997963965,0.996839941,0.996942222
Best 04,1,SGD,0.01,64,1.87E-05,3.17E-05,2.88E-05,0.997986615,0.996875703,0.996942639
Best 04,32,RMSprop,0.01,8,0.002534869,0.000104003,0.000121208,0.47272256,0.988087833,0.987947762
Best 04,27,RMSprop,0.01,16,0.002515495,7.14E-05,0.00011891,0.646725178,0.992690384,0.990706742
Best 04,14,RMSprop,0.01,32,0.00271355,5.83E-05,5.79E-05,0.687918186,0.994385421,0.994345725
Best 04,27,RMSprop,0.01,64,5.93E-05,4.25E-05,5.59E-05,0.994124472,0.99549675,0.995000064
