Data,Epoch,Optimizer,Learning Rate,Batch Size,Training Loss,Validation Loss,Test Loss,Training R2,Validation R2,Test R2
Best 04,248,Adam,1.00E-05,8,0.003247309,0.003253862,0.003223062,0.647300541,0.688779354,0.7231704
Best 04,245,Adam,1.00E-05,16,0.00148864,0.001552367,0.001912366,0.836146474,0.839804828,0.841954648
Best 04,241,Adam,1.00E-05,32,0.000892469,0.001079277,0.001364519,0.904806972,0.894194186,0.885243475
Best 04,250,Adam,1.00E-05,64,0.000638147,0.000866848,0.001145882,0.931102276,0.912314653,0.902432978
Best 04,1,SGD,1.00E-05,8,0.001598254,0.000891339,0.001175978,0.768323243,0.906714678,0.89894098
Best 04,14,SGD,1.00E-05,16,0.001024802,0.000869372,0.001146378,0.866621673,0.914300859,0.902213097
Best 04,5,SGD,1.00E-05,32,0.000730185,0.00086595,0.001148088,0.92058748,0.915184796,0.902157784
Best 04,3,SGD,1.00E-05,64,0.00063609,0.000865523,0.001146768,0.932752967,0.9124071,0.90230608
Best 04,1,RMSprop,1.00E-05,8,0.001541286,0.000916711,0.001203463,0.786334217,0.902590513,0.896375358
Best 04,24,RMSprop,1.00E-05,16,0.000855408,0.000892958,0.001212098,0.903192759,0.911818266,0.897185743
Best 04,61,RMSprop,1.00E-05,32,0.000655984,0.000814852,0.001114292,0.93151927,0.920304596,0.907042503
Best 04,111,RMSprop,1.00E-05,64,0.000521144,0.000763396,0.001016066,0.945261776,0.92339772,0.914983153
Best 04,90,Adam,0.0001,8,0.000563025,0.000537683,0.000787433,0.918525755,0.943656862,0.937462687
Best 04,51,Adam,0.0001,16,0.00035217,0.000438721,0.000620023,0.958718359,0.95907259,0.952113986
Best 04,95,Adam,0.0001,32,0.000208372,0.000369265,0.00053387,0.977050781,0.965364397,0.960504055
Best 04,48,Adam,0.0001,64,0.000155462,0.000344848,0.000494291,0.983222067,0.966205835,0.964322686
Best 04,21,SGD,0.0001,8,0.000378804,0.000320206,0.000456461,0.937835276,0.969768763,0.964742243
Best 04,1,SGD,0.0001,16,0.000242153,0.000320611,0.000457711,0.970663309,0.969548702,0.96519506
Best 04,1,SGD,0.0001,32,0.000176641,0.000321646,0.000460036,0.980460882,0.96973604,0.965274096
Best 04,1,SGD,0.0001,64,0.000152053,0.000322058,0.000461153,0.983561337,0.968134344,0.965318441
Best 04,3,RMSprop,0.0001,8,0.000423266,0.000389069,0.000617,0.943088531,0.963381529,0.955077112
Best 04,5,RMSprop,0.0001,16,0.0002588,0.00037148,0.000580783,0.96708703,0.966064453,0.958508193
Best 04,54,RMSprop,0.0001,32,0.000184161,0.000340038,0.000522008,0.978353024,0.968630612,0.96398896
Best 04,8,RMSprop,0.0001,64,0.000141724,0.0003215,0.00046536,0.984500647,0.968740284,0.968101919
Best 04,45,Adam,0.001,8,0.000788178,0.000454358,0.000615219,0.88598609,0.951524556,0.939607382
Best 04,36,Adam,0.001,16,0.00037641,0.000264161,0.000405469,0.955266714,0.974099815,0.965966225
Best 04,42,Adam,0.001,32,0.000196388,0.000168143,0.00027806,0.977696121,0.983643055,0.979297578
Best 04,1,Adam,0.001,64,0.000192883,0.00015181,0.000235572,0.979439139,0.984970391,0.980652392
Best 04,1,SGD,0.001,8,0.000391578,0.000146307,0.00022188,0.927550972,0.984974802,0.981387436
Best 04,5,SGD,0.001,16,0.000225936,0.000145597,0.00022177,0.968906403,0.985570192,0.981627584
Best 04,1,SGD,0.001,32,0.000187423,0.000145979,0.000221878,0.978904724,0.985467255,0.981578112
Best 04,1,SGD,0.001,64,0.000174051,0.000146285,0.00022223,0.98145777,0.985447228,0.981512308
Best 04,4,RMSprop,0.001,8,0.000966114,0.000525,0.00073809,0.815682828,0.945759475,0.934392929
Best 04,44,RMSprop,0.001,16,0.000395286,0.000233731,0.000390065,0.950998962,0.976822793,0.971143425
Best 04,12,RMSprop,0.001,32,0.000302922,0.000194063,0.000302638,0.966706455,0.981185436,0.973415971
Best 04,85,RMSprop,0.001,64,0.000213022,0.000129165,0.000227246,0.977517962,0.987123966,0.983005524
Best 04,22,Adam,0.01,8,0.001357278,0.000751386,0.00119188,0.834346354,0.923380911,0.906509995
Best 04,10,Adam,0.01,16,0.000777451,0.000554979,0.000732419,0.911565185,0.947745323,0.927957177
Best 04,25,Adam,0.01,32,0.000372013,0.000202957,0.00049046,0.961356223,0.978651762,0.963758409
Best 04,39,Adam,0.01,64,0.000319235,0.000152611,0.000246504,0.967658997,0.984197915,0.977534592
Best 04,1,SGD,0.01,8,0.000569655,0.000156188,0.000249557,0.919182658,0.9835307,0.979509473
Best 04,7,SGD,0.01,16,0.000329399,0.000150338,0.000251124,0.961893201,0.984322011,0.979799688
Best 04,1,SGD,0.01,32,0.000274413,0.00014712,0.00024641,0.968169928,0.984508097,0.980076909
Best 04,1,SGD,0.01,64,0.000208758,0.000147765,0.000247538,0.977104068,0.984680355,0.980047584
Best 04,2,RMSprop,0.01,8,12.80152798,0.029628856,0.039000716,-1704.540894,-2.827013254,-3.575987339
Best 04,7,RMSprop,0.01,16,3.539216518,0.010781184,0.011594512,-397.6201172,-0.290465713,-0.646887958
Best 04,41,RMSprop,0.01,32,0.0584784,0.004367693,0.007487675,-5.010027409,0.522955477,0.244989023
Best 04,21,RMSprop,0.01,64,0.092815511,0.005954765,0.006201632,-11.16650009,0.361127704,0.055664152
