Data,Epoch,Optimizer,Learning Rate,Batch Size,Training Loss,Validation Loss,Test Loss,Training R2,Validation R2,Test R2
Best 04,400,Adam,1.00E-05,8,0.002046108,0.001926565,0.001612872,0.739740551,0.786556661,0.816887796
Best 04,387,Adam,1.00E-05,16,0.000986751,0.001276285,0.000994483,0.882104337,0.863659918,0.880255044
Best 04,396,Adam,1.00E-05,32,0.000486838,0.000808057,0.000674032,0.944092095,0.922563374,0.923905611
Best 04,147,Adam,1.00E-05,64,0.000384019,0.000713709,0.000638658,0.958374202,0.933314085,0.92835182
Best 04,35,SGD,1.00E-05,8,0.001041206,0.000733313,0.000661475,0.848015785,0.91492784,0.92541343
Best 04,50,SGD,1.00E-05,16,0.000620816,0.000713943,0.000644863,0.920676887,0.922599614,0.927432775
Best 04,6,SGD,1.00E-05,32,0.00046692,0.000712909,0.000642434,0.945573688,0.931248188,0.927926719
Best 04,15,SGD,1.00E-05,64,0.00039429,0.00071025,0.000639426,0.957162499,0.933613598,0.928137064
Best 04,1,RMSprop,1.00E-05,8,0.001129463,0.000720842,0.000663518,0.824775934,0.917009175,0.925839663
Best 04,1,RMSprop,1.00E-05,16,0.000592962,0.000712555,0.000658866,0.927135587,0.923410773,0.926828682
Best 04,381,RMSprop,1.00E-05,32,0.000366357,0.000572418,0.000556165,0.95729351,0.945184946,0.938688397
Best 04,382,RMSprop,1.00E-05,64,0.000250048,0.000514355,0.000490953,0.971999228,0.952446759,0.946752131
Best 04,211,Adam,0.0001,8,0.000282589,0.000209005,0.000211369,0.962559164,0.978850126,0.97697258
Best 04,24,Adam,0.0001,16,0.000204414,0.000179343,0.00016929,0.976264477,0.982333779,0.981496274
Best 04,51,Adam,0.0001,32,0.000136048,0.000154416,0.000156511,0.984588504,0.985780358,0.982721329
Best 04,67,Adam,0.0001,64,9.74E-05,0.000140043,0.000135819,0.989367068,0.98704201,0.985358655
Best 04,50,SGD,0.0001,8,0.000226432,0.000140316,0.000137647,0.942596614,0.985583723,0.984932065
Best 04,15,SGD,0.0001,16,0.000136513,0.000138188,0.000134736,0.958510041,0.987051725,0.9854424
Best 04,63,SGD,0.0001,32,9.96E-05,0.000138021,0.000132613,0.988812327,0.987577617,0.985697627
Best 04,1,SGD,0.0001,64,9.27E-05,0.000138041,0.00013267,0.989435375,0.987199068,0.985696077
Best 04,83,RMSprop,0.0001,8,0.000190854,0.000174923,0.000158115,0.976747394,0.983118832,0.982948303
Best 04,116,RMSprop,0.0001,16,0.00012107,0.000134981,0.000130527,0.985667169,0.98753345,0.986485362
Best 04,38,RMSprop,0.0001,32,9.69E-05,0.000125755,0.000105859,0.989387631,0.989359617,0.989020884
Best 04,36,RMSprop,0.0001,64,8.63E-05,0.000120995,0.000102798,0.991123199,0.988947034,0.989038229
Best 04,96,Adam,0.001,8,0.000401879,0.000220862,0.000197793,0.949497461,0.976208627,0.978146791
Best 04,110,Adam,0.001,16,0.00017371,0.000123551,0.000118393,0.978503883,0.987232387,0.986845136
Best 04,89,Adam,0.001,32,0.000103079,8.64E-05,7.81E-05,0.988244116,0.991819382,0.991301
Best 04,8,Adam,0.001,64,8.49E-05,8.42E-05,7.21E-05,0.990242839,0.992005825,0.992062688
Best 04,1,SGD,0.001,8,0.000157697,8.24E-05,7.11E-05,0.979180098,0.991429806,0.992133379
Best 04,11,SGD,0.001,16,0.000116167,8.03E-05,6.90E-05,0.978563249,0.992251098,0.992388427
Best 04,39,SGD,0.001,32,8.20E-05,8.02E-05,6.84E-05,0.991019487,0.992480338,0.992478669
Best 04,38,SGD,0.001,64,7.33E-05,7.96E-05,6.82E-05,0.992031991,0.992379367,0.992510796
Best 04,4,RMSprop,0.001,8,0.0003464,0.00019972,0.000154134,0.95293206,0.981667101,0.983203053
Best 04,39,RMSprop,0.001,16,0.000243237,0.000130803,0.000110479,0.974970937,0.986795664,0.987852931
Best 04,37,RMSprop,0.001,32,0.000148546,9.59E-05,8.71E-05,0.983019173,0.990777671,0.990591466
Best 04,27,RMSprop,0.001,64,0.000127723,9.37E-05,7.63E-05,0.98678571,0.991134048,0.9915995
Best 04,6,Adam,0.01,8,0.002438355,0.001158786,0.001032877,0.690861464,0.88173914,0.863479257
Best 04,2,Adam,0.01,16,0.000972629,0.000490844,0.000532575,0.888720989,0.946373641,0.935365438
Best 04,72,Adam,0.01,32,0.00045711,0.000179324,0.000211496,0.952104986,0.982054055,0.976999044
Best 04,83,Adam,0.01,64,0.000155073,0.000100209,0.000105022,0.983174026,0.990565658,0.988682985
Best 04,1,SGD,0.01,8,0.000477214,0.000105671,0.00011139,0.922563612,0.988152325,0.987770796
Best 04,58,SGD,0.01,16,0.000211071,0.000100918,0.000105253,0.972077072,0.98987937,0.98853904
Best 04,8,SGD,0.01,32,0.000138594,9.86E-05,0.000102613,0.98452282,0.99084121,0.988909602
Best 04,77,SGD,0.01,64,0.000123246,9.61E-05,0.000101756,0.985916853,0.990956545,0.989043951
Best 04,3,RMSprop,0.01,8,9.396339417,0.017205704,0.015485892,-1553.781982,-1.251384854,-0.993926704
Best 04,27,RMSprop,0.01,16,15.05792046,0.009850844,0.005785869,-1981.057495,0.237564325,0.326886863
Best 04,16,RMSprop,0.01,32,1.504003644,0.006196441,0.006553716,-199.9545288,0.353365839,0.167287886
Best 04,15,RMSprop,0.01,64,0.15340437,0.005914056,0.006370205,-14.63686371,0.415783912,0.20224753
